Start Time (EpMin),Stop Time (EpMin),to Sat,from sat,Is Ascending
0.05,0.1,107,108,1
0.05,12900,108,109,1
0.05,12900,109,110,1
0.05,12900,110,111,1
0.05,12900,111,112,1
0.05,12900,112,113,1
0.05,12900,113,114,1
0.05,12900,114,115,1
0.05,0.1,115,101,1
0.05,12900,215,201,1
0.05,12900,201,202,1
0.06,12900,202,203,1
0.06,12900,203,204,1
0.06,12900,204,205,1
0.06,12900,205,206,1
0.06,12900,206,207,1
0.06,12900,207,208,1
0.06,12900,208,209,1
0.06,12900,209,210,1
0.06,12900,210,211,1
0.06,12900,211,212,1
0.07,12900,212,213,1
0.07,12900,313,314,1
0.07,12900,314,315,1
0.07,12900,315,301,1
0.07,12900,301,302,1
0.07,12900,302,303,1
0.07,12900,303,304,1
0.07,12900,304,305,1
0.08,12900,306,307,1
0.08,12900,307,308,1
0.08,12900,308,309,1
0.08,12900,411,412,1
0.08,12900,412,413,1
0.08,12900,413,414,1
0.08,12900,414,415,1
0.08,12900,415,401,1
0.08,12900,401,402,1
0.08,12900,402,403,1
0.08,12900,403,404,1
0.09,12900,404,405,1
0.09,12900,405,406,1
0.09,12900,406,407,1
0.09,12900,407,408,1
0.09,12900,509,510,1
0.09,12900,510,511,1
0.09,12900,511,512,1
0.09,12900,512,513,1
0.09,12900,513,514,1
0.09,12900,514,515,1
0.1,12900,515,501,1
0.1,12900,501,502,1
0.1,12900,502,503,1
0.1,12900,503,504,1
0.1,12900,504,505,1
0.1,12900,505,506,1
0.1,12900,115,213,1
0.1,12900,211,309,1
0.1,12900,215,313,1
0.11,12900,315,413,1
0.11,12900,108,206,1
0.11,12900,406,308,1
0.11,12900,408,506,1
0.11,12900,411,509,1
0.12,0.5,214,215,1
0.12,0.5,213,214,1
0.12,0.5,312,313,1
0.12,0.5,309,310,1
0.12,0.5,410,411,1
0.12,0.5,408,409,1
0.12,0.5,508,509,1
0.12,0.5,506,507,1
